¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,69.80,1000,0,,2,1020¦X¡@¡@®w,70.20,0,5000 
3,1020¦X¡@¡@®w,71.70,2000,0,,4,1020¦X¡@¡@®w,72.00,2000,0 
5,1020¦X¡@¡@®w,72.10,0,1000,,6,1020¦X¡@¡@®w,72.30,1000,0 
7,1020¦X¡@¡@®w,72.40,3000,0,,8,1020¦X¡@¡@®w,72.90,0,1000 
9,1021¦X®w¥x¤¤,69.50,0,4000,,10,1021¦X®w¥x¤¤,70.00,0,1000 
11,1021¦X®w¥x¤¤,70.40,1000,0,,12,1021¦X®w¥x¤¤,71.70,2000,0 
13,1021¦X®w¥x¤¤,72.10,1000,1000,,14,1021¦X®w¥x¤¤,72.20,0,1000 
15,1021¦X®w¥x¤¤,72.90,2000,0,,16,1021¦X®w¥x¤¤,73.00,1000,0 
17,1022¦X®w¥x«n,70.10,0,1000,,18,1022¦X®w¥x«n,72.40,1000,0 
19,1023¦X®w°ª¶¯,70.10,0,1000,,20,1023¦X®w°ª¶¯,70.20,0,2000 
21,1023¦X®w°ª¶¯,70.30,0,1000,,22,1023¦X®w°ª¶¯,71.00,2000,0 
23,1023¦X®w°ª¶¯,71.50,2000,0,,24,1023¦X®w°ª¶¯,71.80,0,1000 
25,1023¦X®w°ª¶¯,72.00,2000,1000,,26,1023¦X®w°ª¶¯,72.10,1000,2000 
27,1023¦X®w°ª¶¯,72.30,1000,0,,28,1023¦X®w°ª¶¯,72.60,1000,0 
29,1023¦X®w°ª¶¯,73.00,0,1000,,30,1024¦X®w¹Å¸q,71.10,0,1000 
31,1024¦X®w¹Å¸q,71.40,1000,0,,32,1025¦X®w°ò¶©,69.50,2000,0 
33,1025¦X®w°ò¶©,70.60,1000,0,,34,1025¦X®w°ò¶©,72.40,0,5000 
35,1025¦X®w°ò¶©,72.90,0,1000,,36,1028¦X®w¹ü¤Æ,70.40,1000,0 
37,102A¦X®w·s¦Ë,69.90,1000,0,,38,102A¦X®w·s¦Ë,71.00,0,1000 
39,102A¦X®w·s¦Ë,71.70,0,1000,,40,102A¦X®w·s¦Ë,72.00,1000,0 
