交易日期:20201022  契約代號:TXO  契約名稱:臺指選擇權  到期月份:202012 買/賣權:C
履約價格,成交價格,全市場成交量,買進期貨商代號,買進期貨商名稱,賣出期貨商代號,賣出期貨商名稱 
11000,1810,1,F021,元大期貨,F034,澳帝華期貨
11800,1080,3,F020,群益期貨,F020,群益期貨
12000,910,4,F034,澳帝華期貨,F026,富邦期貨
12000,915,2,S980,元大證券,F026,富邦期貨
12000,920,3,S888,國泰證券,F026,富邦期貨
12300,645,1,F004,凱基期貨,S890,法銀巴黎證券
12300,650,5,F034,澳帝華期貨,F020,群益期貨
12300,660,1,F004,凱基期貨,F029,康和期貨
12300,675,1,F004,凱基期貨,S890,法銀巴黎證券
12300,685,1,F004,凱基期貨,F034,澳帝華期貨
12400,575,1,F004,凱基期貨,F034,澳帝華期貨
12400,595,1,F020,群益期貨,S856,新光證券
12400,610,3,S980,元大證券,F021,元大期貨
12500,510,125,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S890,法銀巴黎證券
 , , , , ,S980,元大證券
12600,445,5,F034,澳帝華期貨,F020,群益期貨
12600,446,20,F034,澳帝華期貨,S592,元富證券
12600,447,140,F034,澳帝華期貨,S585,統一證券
 , , , , ,S890,法銀巴黎證券
 , , , , ,S980,元大證券
12600,479,20,S585,統一證券,F020,群益期貨
 , , , , ,F034,澳帝華期貨
12700,380,30,F034,澳帝華期貨,S890,法銀巴黎證券
12700,381,15,F034,澳帝華期貨,F020,群益期貨
 , , , , ,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
12700,382,30,F034,澳帝華期貨,S890,法銀巴黎證券
12700,383,9,F034,澳帝華期貨,S890,法銀巴黎證券
12700,384,50,F034,澳帝華期貨,S592,元富證券
 , , , , ,S890,法銀巴黎證券
12700,385,49,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
12700,386,20,F034,澳帝華期貨,S585,統一證券
12700,387,51,F021,元大期貨,S980,元大證券
 , , ,F034,澳帝華期貨, , 
12700,399,1,F034,澳帝華期貨,F004,凱基期貨
12700,402,1,S890,法銀巴黎證券,F020,群益期貨
12700,409,1,F020,群益期貨,F034,澳帝華期貨
12700,411,20,S890,法銀巴黎證券,F034,澳帝華期貨
12700,413,9,S890,法銀巴黎證券,F034,澳帝華期貨
12700,417,30,S585,統一證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,S890,法銀巴黎證券
12700,418,8,F020,群益期貨,F034,澳帝華期貨
 , , ,S890,法銀巴黎證券, , 
12700,419,50,S890,法銀巴黎證券,F034,澳帝華期貨
12700,421,20,S890,法銀巴黎證券,F034,澳帝華期貨
12700,422,20,S890,法銀巴黎證券,F034,澳帝華期貨
12800,322,1,F001,國泰期貨,S890,法銀巴黎證券
12800,324,36,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S890,法銀巴黎證券
12800,325,9,F034,澳帝華期貨,S890,法銀巴黎證券
12800,326,31,F034,澳帝華期貨,S890,法銀巴黎證券
12800,328,51,F034,澳帝華期貨,S592,元富證券
 , , , , ,S890,法銀巴黎證券
12800,329,49,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
12800,330,52,F001,國泰期貨,F034,澳帝華期貨
 , , ,F034,澳帝華期貨,S585,統一證券
 , , , , ,S890,法銀巴黎證券
12800,331,69,F021,元大期貨,S888,國泰證券
 , , ,F034,澳帝華期貨,S980,元大證券
12800,341,1,F034,澳帝華期貨,F004,凱基期貨
12800,345,1,S980,元大證券,F001,國泰期貨
12800,349,1,F005,國票期貨,F034,澳帝華期貨
12800,350,17,F039,大昌期貨,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
12800,352,1,S890,法銀巴黎證券,F001,國泰期貨
12800,356,20,S890,法銀巴黎證券,F020,群益期貨
 , , , , ,F034,澳帝華期貨
12800,357,50,S585,統一證券,F004,凱基期貨
 , , ,S888,國泰證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,S890,法銀巴黎證券
12800,359,28,S890,法銀巴黎證券,F034,澳帝華期貨
12800,361,30,S890,法銀巴黎證券,F021,元大期貨
 , , , , ,F034,澳帝華期貨
12800,362,30,S890,法銀巴黎證券,F021,元大期貨
 , , , , ,F034,澳帝華期貨
12800,363,20,S890,法銀巴黎證券,F034,澳帝華期貨
12800,364,5,S890,法銀巴黎證券,F034,澳帝華期貨
12800,366,1,S890,法銀巴黎證券,F004,凱基期貨
12900,272,33,F034,澳帝華期貨,S890,法銀巴黎證券
12900,273,15,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S890,法銀巴黎證券
12900,274,33,F034,澳帝華期貨,S890,法銀巴黎證券
12900,276,33,F034,澳帝華期貨,S890,法銀巴黎證券
12900,277,93,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S592,元富證券
 , , , , ,S888,國泰證券
 , , , , ,S890,法銀巴黎證券
12900,278,20,F021,元大期貨,S585,統一證券
12900,279,2,F001,國泰期貨,F001,國泰期貨
 , , ,F034,澳帝華期貨,F034,澳帝華期貨
12900,289,11,S888,國泰證券,F020,群益期貨
12900,290,5,S888,國泰證券,F020,群益期貨
12900,291,50,S888,國泰證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
12900,292,84,S888,國泰證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
12900,293,1,S890,法銀巴黎證券,F014,華南期貨
12900,296,1,S888,國泰證券,F029,康和期貨
12900,297,3,F034,澳帝華期貨,F002,永豐期貨
 , , ,S890,法銀巴黎證券,F008,統一期貨
12900,298,1,S888,國泰證券,F008,統一期貨
12900,300,10,S890,法銀巴黎證券,F034,澳帝華期貨
12900,302,10,S585,統一證券,F034,澳帝華期貨
12900,303,10,S585,統一證券,F034,澳帝華期貨
12900,309,10,S890,法銀巴黎證券,F034,澳帝華期貨
12900,310,5,S890,法銀巴黎證券,F034,澳帝華期貨
12900,314,1,S890,法銀巴黎證券,F001,國泰期貨
13000,224,17,F034,澳帝華期貨,S890,法銀巴黎證券
13000,225,11,F034,澳帝華期貨,F005,國票期貨
 , , , , ,S890,法銀巴黎證券
13000,226,10,F034,澳帝華期貨,S890,法銀巴黎證券
13000,227,56,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S592,元富證券
 , , , , ,S890,法銀巴黎證券
13000,228,10,F034,澳帝華期貨,S890,法銀巴黎證券
13000,229,11,F021,元大期貨,F034,澳帝華期貨
 , , ,F034,澳帝華期貨,S890,法銀巴黎證券
13000,230,43,F021,元大期貨,S888,國泰證券
 , , ,F034,澳帝華期貨,S890,法銀巴黎證券
13000,231,41,F020,群益期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F021,元大期貨
13000,233,30,F034,澳帝華期貨,S980,元大證券
13000,235,1,S888,國泰證券,F021,元大期貨
13000,241,20,S980,元大證券,S890,法銀巴黎證券
13000,243,14,S890,法銀巴黎證券,F034,澳帝華期貨
13000,244,65,S890,法銀巴黎證券,F020,群益期貨
 , , , , ,F034,澳帝華期貨
 , , , , ,S980,元大證券
13000,245,20,S890,法銀巴黎證券,S980,元大證券
13000,249,1,F007,日盛期貨,F005,國票期貨
13000,250,14,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,F039,大昌期貨
13000,252,1,F034,澳帝華期貨,F021,元大期貨
13000,253,1,S890,法銀巴黎證券,F021,元大期貨
13000,254,1,F007,日盛期貨,F034,澳帝華期貨
13000,255,1,F018,元富期貨,F034,澳帝華期貨
13000,256,32,F034,澳帝華期貨,B224,中國信託商業銀行
 , , ,S890,法銀巴黎證券,F004,凱基期貨
 , , , , ,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
13000,257,8,F018,元富期貨,S890,法銀巴黎證券
13000,258,3,S890,法銀巴黎證券,F021,元大期貨
 , , , , ,F034,澳帝華期貨
13000,259,5,F014,華南期貨,F034,澳帝華期貨
 , , ,F020,群益期貨, , 
13000,260,18,S890,法銀巴黎證券,F005,國票期貨
 , , , , ,F034,澳帝華期貨
13000,261,20,S890,法銀巴黎證券,F034,澳帝華期貨
13000,263,40,S890,法銀巴黎證券,F034,澳帝華期貨
13000,264,1,S890,法銀巴黎證券,F001,國泰期貨
13000,265,1,S890,法銀巴黎證券,F007,日盛期貨
13000,266,1,F020,群益期貨,F007,日盛期貨
13100,181,1,F005,國票期貨,S890,法銀巴黎證券
13100,185,1,F021,元大期貨,S890,法銀巴黎證券
13100,186,36,F034,澳帝華期貨,S890,法銀巴黎證券
13100,187,36,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S592,元富證券
 , , , , ,S890,法銀巴黎證券
13100,188,51,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S888,國泰證券
 , , , , ,S890,法銀巴黎證券
13100,189,52,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S585,統一證券
 , , , , ,S890,法銀巴黎證券
13100,190,11,F034,澳帝華期貨,S890,法銀巴黎證券
13100,192,100,F034,澳帝華期貨,S980,元大證券
13100,193,1,F034,澳帝華期貨,F020,群益期貨
13100,197,1,S980,元大證券,F020,群益期貨
13100,201,1,F034,澳帝華期貨,F020,群益期貨
13100,202,14,S890,法銀巴黎證券,F034,澳帝華期貨
13100,203,20,S890,法銀巴黎證券,F020,群益期貨
 , , , , ,F034,澳帝華期貨
13100,208,1,S980,元大證券,F007,日盛期貨
13100,209,1,S980,元大證券,F020,群益期貨
13100,210,1,S890,法銀巴黎證券,F021,元大期貨
13100,211,2,S980,元大證券,F004,凱基期貨
 , , , , ,F026,富邦期貨
13100,212,1,F020,群益期貨,F021,元大期貨
13100,213,1,S890,法銀巴黎證券,F005,國票期貨
13100,214,20,S585,統一證券,F034,澳帝華期貨
13100,215,12,S888,國泰證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F021,元大期貨
 , , ,S980,元大證券,F034,澳帝華期貨
13100,216,1,S980,元大證券,F002,永豐期貨
13100,217,20,S890,法銀巴黎證券,F034,澳帝華期貨
13100,219,1,S890,法銀巴黎證券,F008,統一期貨
13200,139,1,S890,法銀巴黎證券,F021,元大期貨
13200,140,4,F020,群益期貨,F005,國票期貨
13200,144,1,F020,群益期貨,S890,法銀巴黎證券
13200,147,1,F026,富邦期貨,S890,法銀巴黎證券
13200,148,1,F020,群益期貨,S890,法銀巴黎證券
13200,152,45,F034,澳帝華期貨,F018,元富期貨
 , , , , ,F020,群益期貨
 , , , , ,S890,法銀巴黎證券
13200,153,102,F020,群益期貨,F018,元富期貨
 , , ,F034,澳帝華期貨,F020,群益期貨
 , , , , ,F026,富邦期貨
 , , , , ,S592,元富證券
 , , , , ,S890,法銀巴黎證券
13200,154,72,F034,澳帝華期貨,S585,統一證券
 , , , , ,S888,國泰證券
 , , , , ,S890,法銀巴黎證券
13200,155,40,F034,澳帝華期貨,S890,法銀巴黎證券
13200,156,12,F034,澳帝華期貨,S890,法銀巴黎證券
13200,158,1,S126,宏遠證券,S890,法銀巴黎證券
13200,159,16,F020,群益期貨,F034,澳帝華期貨
 , , ,S884,玉山證券,S890,法銀巴黎證券
13200,160,1,S980,元大證券,F002,永豐期貨
13200,165,21,S890,法銀巴黎證券,F030,兆豐期貨
 , , , , ,F034,澳帝華期貨
13200,167,20,S890,法銀巴黎證券,F034,澳帝華期貨
13200,168,6,S890,法銀巴黎證券,F018,元富期貨
 , , , , ,F021,元大期貨
13200,169,1,S890,法銀巴黎證券,S126,宏遠證券
13200,170,3,S980,元大證券,F021,元大期貨
13200,171,8,F018,元富期貨,S890,法銀巴黎證券
13200,172,31,F020,群益期貨,F034,澳帝華期貨
 , , ,S888,國泰證券,S890,法銀巴黎證券
13200,175,11,F029,康和期貨,F018,元富期貨
 , , ,S890,法銀巴黎證券,S890,法銀巴黎證券
13200,176,25,S585,統一證券,F034,澳帝華期貨
 , , ,S980,元大證券,S884,玉山證券
13200,177,20,S890,法銀巴黎證券,F034,澳帝華期貨
13200,180,37,F018,元富期貨,F034,澳帝華期貨
 , , ,S890,法銀巴黎證券,S884,玉山證券
13200,181,20,S890,法銀巴黎證券,F021,元大期貨
 , , , , ,F034,澳帝華期貨
13300,95,1,F029,康和期貨,F029,康和期貨
13300,113,26,F020,群益期貨,F021,元大期貨
 , , ,F029,康和期貨, , 
 , , ,S890,法銀巴黎證券, , 
13300,114,2,F020,群益期貨,F005,國票期貨
 , , ,S890,法銀巴黎證券, , 
13300,116,1,S890,法銀巴黎證券,F002,永豐期貨
13300,117,19,F020,群益期貨,F021,元大期貨
 , , ,S890,法銀巴黎證券, , 
13300,118,3,F002,永豐期貨,F002,永豐期貨
 , , ,S890,法銀巴黎證券,S890,法銀巴黎證券
13300,120,1,F005,國票期貨,F029,康和期貨
13300,121,11,F020,群益期貨,F021,元大期貨
13300,123,70,F002,永豐期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F021,元大期貨
 , , ,S890,法銀巴黎證券,S890,法銀巴黎證券
 , , , , ,S980,元大證券
13300,124,13,F034,澳帝華期貨,S890,法銀巴黎證券
13300,125,65,F020,群益期貨,F021,元大期貨
 , , ,F034,澳帝華期貨,F026,富邦期貨
 , , , , ,S890,法銀巴黎證券
13300,126,107,F029,康和期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,S980,元大證券
13300,127,36,F020,群益期貨,F020,群益期貨
 , , ,F021,元大期貨,F021,元大期貨
 , , ,S888,國泰證券,S980,元大證券
13300,129,18,F039,大昌期貨,F021,元大期貨
 , , ,S890,法銀巴黎證券, , 
13300,130,63,F029,康和期貨,F020,群益期貨
 , , ,S890,法銀巴黎證券,F021,元大期貨
 , , ,S980,元大證券,F039,大昌期貨
13300,133,28,F020,群益期貨,F021,元大期貨
13300,135,39,F018,元富期貨,F021,元大期貨
 , , ,F034,澳帝華期貨,F026,富邦期貨
 , , ,S980,元大證券, , 
13300,142,35,S890,法銀巴黎證券,F029,康和期貨
 , , , , ,S856,新光證券
13300,143,24,S159,花旗環球證,F014,華南期貨
 , , ,S890,法銀巴黎證券,S890,法銀巴黎證券
13300,144,17,S159,花旗環球證,F034,澳帝華期貨
13300,145,25,F005,國票期貨,F021,元大期貨
 , , ,S159,花旗環球證,F034,澳帝華期貨
13300,146,166,S159,花旗環球證,F020,群益期貨
 , , ,S890,法銀巴黎證券,F021,元大期貨
 , , , , ,F029,康和期貨
 , , , , ,F034,澳帝華期貨
13300,147,121,S159,花旗環球證,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
13400,90,6,F020,群益期貨,S890,法銀巴黎證券
 , , ,S815,台新證券, , 
13400,91,5,F020,群益期貨,S890,法銀巴黎證券
13400,92,5,F020,群益期貨,S890,法銀巴黎證券
13400,94,6,F004,凱基期貨,F004,凱基期貨
 , , ,F020,群益期貨,S890,法銀巴黎證券
13400,97,50,F034,澳帝華期貨,S890,法銀巴黎證券
13400,98,23,F004,凱基期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,S890,法銀巴黎證券
13400,99,16,F001,國泰期貨,S890,法銀巴黎證券
 , , ,F034,澳帝華期貨, , 
13400,100,63,F020,群益期貨,F020,群益期貨
 , , ,F029,康和期貨,S890,法銀巴黎證券
 , , ,F034,澳帝華期貨, , 
13400,102,3,F034,澳帝華期貨,F001,國泰期貨
 , , , , ,F039,大昌期貨
13400,105,2,F034,澳帝華期貨,F026,富邦期貨
13400,107,21,S890,法銀巴黎證券,F030,兆豐期貨
 , , , , ,F034,澳帝華期貨
13400,108,38,F005,國票期貨,B224,中國信託商業銀行
 , , ,F026,富邦期貨,F029,康和期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
13400,109,1,S890,法銀巴黎證券,F001,國泰期貨
13400,110,1,S890,法銀巴黎證券,B224,中國信託商業銀行
13400,111,11,F004,凱基期貨,F004,凱基期貨
 , , ,F034,澳帝華期貨,F005,國票期貨
13400,112,22,F020,群益期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F034,澳帝華期貨
 , , ,S888,國泰證券,S890,法銀巴黎證券
13400,113,29,S890,法銀巴黎證券,F004,凱基期貨
 , , , , ,F021,元大期貨
 , , , , ,F034,澳帝華期貨
13400,115,5,S890,法銀巴黎證券,F029,康和期貨
13400,116,20,S890,法銀巴黎證券,F034,澳帝華期貨
13400,117,29,F026,富邦期貨,F021,元大期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,S815,台新證券
 , , , , ,S890,法銀巴黎證券
13400,118,14,S890,法銀巴黎證券,F018,元富期貨
 , , , , ,F034,澳帝華期貨
13500,67,5,F020,群益期貨,S890,法銀巴黎證券
13500,69,5,F020,群益期貨,S890,法銀巴黎證券
13500,78,67,F004,凱基期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
13500,79,42,F001,國泰期貨,S890,法銀巴黎證券
 , , ,F020,群益期貨, , 
 , , ,F034,澳帝華期貨, , 
 , , ,F039,大昌期貨, , 
13500,80,14,F020,群益期貨,F039,大昌期貨
 , , ,F039,大昌期貨,S890,法銀巴黎證券
13500,81,2,F034,澳帝華期貨,F001,國泰期貨
 , , ,F039,大昌期貨,F021,元大期貨
13500,83,1,F034,澳帝華期貨,F039,大昌期貨
13500,84,1,F034,澳帝華期貨,F004,凱基期貨
13500,86,20,S890,法銀巴黎證券,F034,澳帝華期貨
13500,87,3,F001,國泰期貨,F039,大昌期貨
 , , ,F005,國票期貨,S890,法銀巴黎證券
13500,88,4,F005,國票期貨,F001,國泰期貨
 , , ,S890,法銀巴黎證券,F039,大昌期貨
13500,89,14,F004,凱基期貨,F020,群益期貨
 , , ,F005,國票期貨,F026,富邦期貨
 , , ,F026,富邦期貨,F034,澳帝華期貨
 , , ,F039,大昌期貨,S890,法銀巴黎證券
 , , ,S888,國泰證券, , 
13500,90,21,F039,大昌期貨,F034,澳帝華期貨
 , , ,S888,國泰證券, , 
13500,91,1,S890,法銀巴黎證券,F026,富邦期貨
13500,92,1,S890,法銀巴黎證券,F039,大昌期貨
13500,93,29,S888,國泰證券,F034,澳帝華期貨
 , , ,S890,法銀巴黎證券,F039,大昌期貨
 , , , , ,S890,法銀巴黎證券
13500,94,70,F021,元大期貨,F001,國泰期貨
 , , ,S888,國泰證券,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,F039,大昌期貨
 , , , , ,S890,法銀巴黎證券
13500,95,1,S890,法銀巴黎證券,F004,凱基期貨
13600,59,2,F002,永豐期貨,F020,群益期貨
13600,60,1,F034,澳帝華期貨,F004,凱基期貨
13600,62,5,F026,富邦期貨,F026,富邦期貨
13600,65,5,F002,永豐期貨,F005,國票期貨
