交易日期:20201022  契約代號:TXO  契約名稱:臺指選擇權  到期月份:202012 買/賣權:P
履約價格,成交價格,全市場成交量,買進期貨商代號,買進期貨商名稱,賣出期貨商代號,賣出期貨商名稱 
6800,7.1,1,F004,凱基期貨,S888,國泰證券
6800,7.2,5,F020,群益期貨,F002,永豐期貨
 , , , , ,F018,元富期貨
 , , , , ,S888,國泰證券
6800,7.3,11,F007,日盛期貨,F021,元大期貨
 , , ,F034,澳帝華期貨,S888,國泰證券
6800,7.4,14,F001,國泰期貨,S888,國泰證券
 , , ,F004,凱基期貨, , 
6800,7.5,44,F030,兆豐期貨,B224,中國信託商業銀行
 , , ,F034,澳帝華期貨,F008,統一期貨
 , , ,S538,第一金證券,F021,元大期貨
 , , , , ,S888,國泰證券
6800,7.6,78,F007,日盛期貨,F014,華南期貨
 , , ,F008,統一期貨,F018,元富期貨
 , , ,F029,康和期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F021,元大期貨
 , , , , ,F029,康和期貨
6800,7.7,23,F004,凱基期貨,B224,中國信託商業銀行
 , , ,F007,日盛期貨,F004,凱基期貨
 , , ,F020,群益期貨,S888,國泰證券
 , , ,F029,康和期貨, , 
 , , ,F039,大昌期貨, , 
6800,7.8,1,F004,凱基期貨,F004,凱基期貨
6800,8.3,10,F029,康和期貨,F021,元大期貨
 , , ,S538,第一金證券, , 
7000,3,5,F004,凱基期貨,S920,凱基證券
 , , ,S815,台新證券, , 
7000,3.5,10,F020,群益期貨,S920,凱基證券
7000,4,10,F020,群益期貨,S920,凱基證券
7000,5,10,F020,群益期貨,S920,凱基證券
7000,6,10,F020,群益期貨,S920,凱基證券
7000,7,37,F018,元富期貨,S920,凱基證券
 , , ,F020,群益期貨, , 
 , , ,F030,兆豐期貨, , 
 , , ,S888,國泰證券, , 
7000,7.1,35,F034,澳帝華期貨,S920,凱基證券
7000,7.2,10,F034,澳帝華期貨,S920,凱基證券
7000,7.4,22,S888,國泰證券,F004,凱基期貨
 , , , , ,S815,台新證券
 , , , , ,S920,凱基證券
7000,7.5,3,F002,永豐期貨,S920,凱基證券
 , , ,F021,元大期貨, , 
7000,7.8,120,F034,澳帝華期貨,B224,中國信託商業銀行
7000,7.9,10,F034,澳帝華期貨,B224,中國信託商業銀行
 , , ,S888,國泰證券, , 
7600,10.5,2,F020,群益期貨,F021,元大期貨
8000,13,1,F020,群益期貨,S888,國泰證券
8200,13.5,1,F008,統一期貨,F004,凱基期貨
8200,15,10,B224,中國信託商業銀行,S888,國泰證券
8200,15.5,60,B224,中國信託商業銀行,F034,澳帝華期貨
 , , , , ,S888,國泰證券
8200,16,1,S888,國泰證券,F034,澳帝華期貨
8400,15,10,B224,中國信託商業銀行,S888,國泰證券
8400,15.5,10,B224,中國信託商業銀行,S888,國泰證券
8600,14.5,3,F029,康和期貨,S888,國泰證券
8600,15,4,F034,澳帝華期貨,F021,元大期貨
8600,15.5,10,B224,中國信託商業銀行,S888,國泰證券
8800,15.5,20,B224,中國信託商業銀行,S888,國泰證券
 , , ,F007,日盛期貨, , 
9000,20,3,F005,國票期貨,F002,永豐期貨
 , , ,F018,元富期貨,F008,統一期貨
 , , ,F020,群益期貨,S888,國泰證券
9200,23,17,F014,華南期貨,F014,華南期貨
 , , , , ,F034,澳帝華期貨
9600,22.5,1,F014,華南期貨,S888,國泰證券
9800,27.5,2,F014,華南期貨,F030,兆豐期貨
10000,32,15,F002,永豐期貨,F002,永豐期貨
 , , , , ,F004,凱基期貨
 , , , , ,F021,元大期貨
 , , , , ,F034,澳帝華期貨
10200,32,1,F026,富邦期貨,F002,永豐期貨
10200,36.5,3,F020,群益期貨,F034,澳帝華期貨
10200,37.5,2,F020,群益期貨,F034,澳帝華期貨
10400,40,1,F026,富邦期貨,F034,澳帝華期貨
10500,47.5,1,F030,兆豐期貨,F014,華南期貨
10600,44.5,1,F020,群益期貨,F030,兆豐期貨
10600,50,1,F014,華南期貨,F034,澳帝華期貨
10600,54,1,S888,國泰證券,F014,華南期貨
11000,62,8,F018,元富期貨,F002,永豐期貨
 , , ,F020,群益期貨,F021,元大期貨
 , , ,F034,澳帝華期貨,F030,兆豐期貨
11000,64,2,F004,凱基期貨,F021,元大期貨
 , , ,F030,兆豐期貨,F029,康和期貨
11000,65,1,F014,華南期貨,S856,新光證券
11000,67,1,F002,永豐期貨,F014,華南期貨
11000,68,1,F004,凱基期貨,F021,元大期貨
11000,70,14,F018,元富期貨,F002,永豐期貨
 , , ,F034,澳帝華期貨,F018,元富期貨
 , , ,S856,新光證券,F021,元大期貨
 , , ,S888,國泰證券,F026,富邦期貨
11000,77,8,F007,日盛期貨,F034,澳帝華期貨
11100,71,1,F014,華南期貨,F034,澳帝華期貨
11200,75,1,F034,澳帝華期貨,F007,日盛期貨
11200,76,1,F014,華南期貨,F021,元大期貨
11200,80,1,F014,華南期貨,F021,元大期貨
11300,84,5,F020,群益期貨,F030,兆豐期貨
11300,85,3,F020,群益期貨,F030,兆豐期貨
11300,86,2,F014,華南期貨,F004,凱基期貨
 , , ,F018,元富期貨,F014,華南期貨
11300,87,6,F034,澳帝華期貨,F004,凱基期貨
11300,88,5,F034,澳帝華期貨,F004,凱基期貨
11300,89,5,F034,澳帝華期貨,F004,凱基期貨
11300,90,5,F020,群益期貨,F004,凱基期貨
11300,91,6,F034,澳帝華期貨,F004,凱基期貨
 , , , , ,F014,華南期貨
11300,92,13,S980,元大證券,F004,凱基期貨
11300,94,8,F002,永豐期貨,F034,澳帝華期貨
11400,93,1,F020,群益期貨,F002,永豐期貨
11500,110,100,F034,澳帝華期貨,S980,元大證券
11600,114,1,S856,新光證券,S980,元大證券
11600,117,1,F004,凱基期貨,F034,澳帝華期貨
11600,118,1,F020,群益期貨,F004,凱基期貨
11600,121,1,S856,新光證券,F020,群益期貨
11600,123,1,F034,澳帝華期貨,F018,元富期貨
11600,125,2,F004,凱基期貨,F030,兆豐期貨
 , , ,F034,澳帝華期貨,F034,澳帝華期貨
11700,128,1,S888,國泰證券,F021,元大期貨
11700,130,1,F004,凱基期貨,F020,群益期貨
11700,134,101,F034,澳帝華期貨,F004,凱基期貨
 , , , , ,S980,元大證券
11800,141,1,F034,澳帝華期貨,F002,永豐期貨
11800,142,1,F034,澳帝華期貨,F002,永豐期貨
11800,145,1,F034,澳帝華期貨,F002,永豐期貨
11800,146,1,F002,永豐期貨,F020,群益期貨
11800,147,3,F002,永豐期貨,F029,康和期貨
 , , ,S888,國泰證券,F034,澳帝華期貨
11800,148,3,F002,永豐期貨,F034,澳帝華期貨
 , , ,F029,康和期貨,S980,元大證券
11800,149,2,F034,澳帝華期貨,F029,康和期貨
11800,150,12,F004,凱基期貨,F029,康和期貨
 , , ,F018,元富期貨,F034,澳帝華期貨
 , , ,F021,元大期貨, , 
 , , ,F034,澳帝華期貨, , 
11800,152,8,F004,凱基期貨,F018,元富期貨
 , , ,S888,國泰證券,F020,群益期貨
11800,157,1,F002,永豐期貨,F034,澳帝華期貨
11900,153,2,F026,富邦期貨,F034,澳帝華期貨
11900,163,1,S526,大慶證券,F034,澳帝華期貨
11900,164,100,F034,澳帝華期貨,S980,元大證券
11900,165,2,S888,國泰證券,F034,澳帝華期貨
11900,166,7,S888,國泰證券,F026,富邦期貨
 , , , , ,F034,澳帝華期貨
11900,167,2,F034,澳帝華期貨,F004,凱基期貨
 , , ,S980,元大證券,F026,富邦期貨
11900,168,2,S888,國泰證券,F034,澳帝華期貨
12000,166,65,F020,群益期貨,F021,元大期貨
 , , ,F026,富邦期貨, , 
12000,167,29,F020,群益期貨,F021,元大期貨
 , , ,F026,富邦期貨, , 
12000,168,20,F020,群益期貨,F021,元大期貨
12000,170,66,F020,群益期貨,F021,元大期貨
 , , ,F029,康和期貨, , 
12000,171,28,F014,華南期貨,F021,元大期貨
 , , ,F018,元富期貨,F034,澳帝華期貨
 , , ,F029,康和期貨, , 
12000,172,1,F034,澳帝華期貨,F014,華南期貨
12000,174,50,S159,花旗環球證,F034,澳帝華期貨
 , , , , ,S888,國泰證券
12000,175,82,F002,永豐期貨,F021,元大期貨
 , , ,F020,群益期貨,F029,康和期貨
 , , ,F026,富邦期貨,F034,澳帝華期貨
 , , ,S159,花旗環球證,S888,國泰證券
12000,176,151,F034,澳帝華期貨,F014,華南期貨
 , , ,S159,花旗環球證,F034,澳帝華期貨
12000,178,2,F034,澳帝華期貨,F026,富邦期貨
12000,181,6,F020,群益期貨,F034,澳帝華期貨
 , , ,F021,元大期貨,S980,元大證券
12000,182,12,F034,澳帝華期貨,F021,元大期貨
 , , , , ,F029,康和期貨
12000,183,13,F034,澳帝華期貨,F014,華南期貨
 , , , , ,F029,康和期貨
12000,188,25,S159,花旗環球證,F029,康和期貨
12100,184,1,F034,澳帝華期貨,F021,元大期貨
12100,194,1,F020,群益期貨,F004,凱基期貨
12100,195,1,F014,華南期貨,F034,澳帝華期貨
12100,199,3,F014,華南期貨,F034,澳帝華期貨
 , , ,F021,元大期貨, , 
 , , ,S526,大慶證券, , 
12100,202,100,F034,澳帝華期貨,S980,元大證券
12100,204,1,S616,中國信託證券,F034,澳帝華期貨
12100,205,4,F034,澳帝華期貨,F014,華南期貨
12100,213,1,F034,澳帝華期貨,F021,元大期貨
12100,214,2,F034,澳帝華期貨,F021,元大期貨
12200,181,1,F020,群益期貨,F021,元大期貨
12200,212,1,S890,法銀巴黎證券,F029,康和期貨
12200,214,12,S888,國泰證券,S890,法銀巴黎證券
12200,223,56,F034,澳帝華期貨,S890,法銀巴黎證券
12200,224,17,F004,凱基期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F034,澳帝華期貨
 , , , , ,S890,法銀巴黎證券
12200,225,136,F034,澳帝華期貨,S890,法銀巴黎證券
 , , , , ,S980,元大證券
12200,227,40,S890,法銀巴黎證券,F034,澳帝華期貨
12200,228,34,F020,群益期貨,F034,澳帝華期貨
 , , ,S890,法銀巴黎證券, , 
12200,232,20,S890,法銀巴黎證券,F034,澳帝華期貨
12200,233,11,S890,法銀巴黎證券,F034,澳帝華期貨
12200,241,1,F034,澳帝華期貨,F021,元大期貨
12300,229,21,S890,法銀巴黎證券,S980,元大證券
12300,241,1,F008,統一期貨,F034,澳帝華期貨
12300,245,1,F029,康和期貨,F034,澳帝華期貨
12300,246,35,F034,澳帝華期貨,S890,法銀巴黎證券
12300,247,50,F034,澳帝華期貨,S592,元富證券
 , , , , ,S890,法銀巴黎證券
12300,248,55,F034,澳帝華期貨,F021,元大期貨
 , , , , ,S890,法銀巴黎證券
12300,249,75,F034,澳帝華期貨,S585,統一證券
 , , , , ,S888,國泰證券
 , , , , ,S890,法銀巴黎證券
12300,250,130,F034,澳帝華期貨,S890,法銀巴黎證券
